205.178.184.153,US,Jacksonville (Deerwood);
91.212.127.100,PL,Warsaw (Śródmieście);
204.244.11.121,CA,New Westminster;
86.156.68.62,GB,Nottingham;
206.51.228.161,US,Tampa (Pinecrest West Park);
131.111.37.76,GB,Cambridge;
86.153.189.0,GB,Guildford;
131.111.30.16,GB,Cambridge;
131.111.37.93,GB,Cambridge;
134.36.36.110,GB,Dundee;
213.120.115.56,GB,Manchester;
134.36.36.113,GB,Dundee;
90.240.113.65,GB,Birmingham;
134.36.36.106,GB,Dundee;
134.36.36.98,GB,Dundee;
134.36.36.109,GB,Dundee;
138.100.13.40,ES,Madrid;
134.36.36.100,GB,Dundee;
216.155.41.11,US,New York;
70.143.72.10,US,San Francisco;
203.152.210.122,JP,Toshima;
134.36.36.112,GB,Dundee;
131.111.119.34,GB,Cambridge;
134.36.36.105,GB,Dundee;
74.52.245.146,US,Ridgewood;
131.111.150.66,GB,Cambridge;
131.111.224.54,GB,Cambridge;
131.111.37.72,GB,Cambridge;
80.177.107.182,GB,London (Poplar);
66.249.65.245,KR,Seoul;
76.119.140.119,US,Brookline;
75.183.5.217,US,Burlington;
96.21.101.144,CA,Montreal (Rosemont—La Petite-Patrie);
71.192.176.112,US,Berlin;
75.180.228.114,US,Burgaw;
205.151.118.95,CA,Montreal;
67.195.113.235,US,New York;
123.125.66.74,CN,Jinrongjie (Xicheng District);
220.181.7.129,CN,Beijing;
66.249.65.50,US,Mountain View;
77.88.43.25,RU,Moscow (Tsentralnyy administrativnyy okrug);
66.249.65.43,US,Mountain View;
207.46.13.141,US,Redmond;
208.115.111.242,US,Seattle (Downtown);
123.125.66.87,CN,Jinrongjie (Xicheng District);
220.181.7.56,CN,Beijing;
207.46.13.99,US,Redmond;
207.46.195.242,US,Newark;
38.99.96.115,US,Sunnyvale;
123.125.66.97,CN,Jinrongjie (Xicheng District);
220.181.7.82,CN,Beijing;
87.83.212.224,GB,Swindon;
123.125.66.128,CN,Jinrongjie (Xicheng District);
220.181.7.93,CN,Beijing;
190.178.216.113,AR,San Justo;
124.115.1.7,CN,Fenyang;
114.80.93.56,CN,Shanghai;
207.46.204.229,US,Newark;
123.125.66.78,CN,Jinrongjie (Xicheng District);
220.181.7.71,CN,Beijing;
207.46.13.133,US,Redmond;
112.203.232.198,PH,San Juan City;
174.129.160.156,US,Ashburn;
123.125.66.134,CN,Jinrongjie (Xicheng District);
90.189.148.126,RU,Novosibirsk;
78.172.9.79,TR,İskenderun;
123.125.66.123,CN,Jinrongjie (Xicheng District);
220.181.7.64,CN,Beijing;
124.120.153.226,TH,Din Daeng (Khwaeng Din Daeng);
95.108.158.242,RU,Moscow;
95.131.64.134,GB,Nottingham;
80.176.84.62,GB,London (Poplar);
123.125.66.73,CN,Jinrongjie (Xicheng District);
220.181.7.75,CN,Beijing;
186.42.4.43,EC,Guayaquil;
123.125.66.61,CN,Jinrongjie (Xicheng District);
220.181.7.91,CN,Beijing;
123.125.66.88,CN,Jinrongjie (Xicheng District);
220.181.7.92,CN,Beijing;
124.115.0.162,CN,Fenyang;
124.115.0.161,CN,Fenyang;
124.115.0.159,CN,Fenyang;
124.115.0.158,CN,Fenyang;
124.115.4.204,CN,Fenyang;
124.115.4.205,CN,Fenyang;
124.115.0.140,CN,Fenyang;
124.115.0.169,CN,Fenyang;
124.115.0.168,CN,Fenyang;
114.80.93.73,CN,Shanghai;
124.115.0.17,CN,Fenyang;
124.115.0.18,CN,Fenyang;
123.125.66.127,CN,Jinrongjie (Xicheng District);
220.181.7.58,CN,Beijing;
124.115.0.163,CN,Fenyang;
124.115.0.160,CN,Fenyang;
124.115.0.26,CN,Fenyang;
124.115.4.201,CN,Fenyang;
124.115.0.28,CN,Fenyang;
124.115.0.100,CN,Fenyang;
